"Survey"	"Date"	"Station"	"Temp"	"Top EC"	"Bottom EC"	"Secchi"	"Turbidity"	"Latitude"	"Longitude"	"Comments"
5	6/22/1995 0:00:00	707	18.40	129	129	72				
5	6/22/1995 0:00:00	711	17.30	110	100	59				
5	6/22/1995 0:00:00	716	18.40	253	250	30				
5	6/23/1995 0:00:00	405	20.30	5610	11930	27				
5	6/23/1995 0:00:00	418	22.00	1980	5980	31				
5	6/23/1995 0:00:00	602	21.30	185	181	41				
5	6/23/1995 0:00:00	606	22.50	639		21				
5	6/23/1995 0:00:00	609	21.50	379	349	31				
5	6/23/1995 0:00:00	610	19.30	290	274	39				
5	6/23/1995 0:00:00	801	19.50	130	143	83				
5	6/24/1995 0:00:00	323	17.70	17740	23500	39				
5	6/24/1995 0:00:00	340	20.90	13170	13730	52				
5	6/24/1995 0:00:00	411	19.80	5820	12290	39				
5	6/24/1995 0:00:00	501	23.70	212	143	50				
5	6/24/1995 0:00:00	504	21.10	145	884	57				
5	6/24/1995 0:00:00	508	23.20	130	133	52				
5	6/24/1995 0:00:00	519	20.20	128	154	67				
5	6/24/1995 0:00:00	520	21.30	127	159	61				
6	7/3/1995 0:00:00	809	18.90	117	141	79				
6	7/3/1995 0:00:00	902	20.20	127	129	75				
6	7/3/1995 0:00:00	910	24.50	400	405	49				
6	7/3/1995 0:00:00	912	24.50	482	400	51				
6	7/3/1995 0:00:00	914	23.60	267	263	71				
6	7/3/1995 0:00:00	915	21.30	145	142	61				
6	7/3/1995 0:00:00	918	22.80	185	182	45				
6	7/4/1995 0:00:00	703	19.20	106	104	71				
6	7/4/1995 0:00:00	705	18.50	101	103	80				
6	7/4/1995 0:00:00	716	18.50	152	153	30				
6	7/4/1995 0:00:00	802	21.40	122	121	60				
6	7/4/1995 0:00:00	901	20.70	126	119	80				
6	7/5/1995 0:00:00	501	19.80	1835	1839	38				
6	7/5/1995 0:00:00	504	20.00	166	192	60				
6	7/5/1995 0:00:00	513	19.00	117	113	72				
6	7/5/1995 0:00:00	519	19.50	152	152	44				
6	7/5/1995 0:00:00	520	21.10	122	129	60				
6	7/5/1995 0:00:00	801	19.40	127	125	72				
6	7/5/1995 0:00:00	804	19.90	131	127	69				
6	7/6/1995 0:00:00	405	20.00	7560	13730	25				
6	7/6/1995 0:00:00	418	20.70	2090	8050	18				
6	7/6/1995 0:00:00	602	21.40	498	772	16				
6	7/6/1995 0:00:00	606	20.90	543	546	18				
6	7/6/1995 0:00:00	609	19.90	498	479	22				
6	7/6/1995 0:00:00	610	19.20	161	152	34				
6	7/7/1995 0:00:00	323	19.30	17170	22700	50				
6	7/7/1995 0:00:00	328	20.10	18240	21500	26				
6	7/7/1995 0:00:00	336	20.00	11830	22100	50				
6	7/7/1995 0:00:00	340	20.30	13180	14810	52				
6	7/7/1995 0:00:00	411	21.00	4590	8820	34				
6	7/7/1995 0:00:00	508	22.70	220	141	59				
6	7/10/1995 0:00:00	704	20.60	113	129	87				
