Polygon/Station	longitude	latitude	
NB-1189	-122.45072000	38.00964770	
NB-1190	-122.43989000	38.00909260	
NB-1191	-122.42629000	38.00964770	
NB-1192	-122.41353000	38.00992520	
NB-1193	-122.40122000	38.01066540	
NB-1194	-122.38873000	38.01048030	
NB-1195	-122.37476000	38.01094290	
NB-1196	-122.34571000	38.01075790	
NB-1197	-122.33322000	38.01020280	
NB-1198	-122.32138000	38.01196060	
NB-1199	-122.45941000	38.00159890	
NB-1200	-122.45081000	38.00011870	
NB-1201	-122.43980000	38.00039620	
NB-1202	-122.42648000	38.00011870	
NB-1203	-122.41325000	38.00002620	
NB-1204	-122.40141000	38.00030370	
NB-1205	-122.38855000	38.00002620	
NB-1206	-122.37347000	38.00039620	
NB-1207	-122.44803000	37.99253250	
NB-1208	-122.43998000	37.99114480	
NB-1209	-122.42574000	37.99049710	
NB-1210	-122.41371000	37.99068220	
NB-1211	-122.40104000	37.99105220	
NB-1212	-122.38855000	37.99095970	
NB-1213	-122.37162000	37.99123730	
NB-500	-122.44136564	38.22764714	
NB-510	-122.43839360	38.22572746	
NB-520	-122.42762720	38.22821379	
NB-522	-122.42564970	38.23124365	
NB-524	-122.43133935	38.23607754	
NB-530	-122.41978658	38.22728864	
NB-540	-122.42383410	38.22092825	
NB-542	-122.41636353	38.22140239	
NB-550	-122.42781223	38.21416312	
NB-560	-122.41597035	38.21309920	
NB-570	-122.40898548	38.20727077	
NB-580	-122.39996530	38.20250626	
NB-590	-122.39196277	38.19681660	
NB-600	-122.39543208	38.19052560	
NB-610	-122.40745899	38.18862905	
NB-620	-122.41967093	38.18793519	
NB-621	-122.42711837	38.18932291	
NB-623	-122.43003258	38.19524385	
NB-625	-122.43151282	38.20023965	
NB-627	-122.42688708	38.20842720	
NB-630	-122.41911585	38.18173670	
NB-640	-122.41509146	38.17193014	
NB-650	-122.41874579	38.16499154	
NB-660	-122.41393502	38.16235487	
NB-670	-122.40713519	38.15611012	
NB-700	-122.63934715	38.24131619	
NB-710	-122.63994850	38.23502519	
NB-720	-122.62926305	38.23164840	
NB-730	-122.62061292	38.22887296	
NB-740	-122.60890981	38.22591249	
NB-750	-122.60058348	38.22096295	
NB-760	-122.59100821	38.21656850	
NB-770	-122.58434715	38.20953738	
NB-772	-122.58554984	38.21222031	
NB-782	-122.58004521	38.20865849	
NB-780	-122.57454059	38.20579053	
NB-792	-122.56598298	38.20814966	
NB-790	-122.56561292	38.20047094	
NB-800	-122.55640770	38.19834310	
NB-810	-122.54734126	38.19579894	
NB-820	-122.54535219	38.18728759	
NB-830	-122.54077271	38.17960886	
NB-840	-122.53290896	38.17257775	
NB-850	-122.53758095	38.16610171	
NB-860	-122.54447330	38.16008826	
NB-861	-122.55307717	38.15814545	
NB-863	-122.55839677	38.16240113	
NB-865	-122.55212890	38.16769759	
NB-867	-122.56221300	38.16883090	
NB-869	-122.56475716	38.17486748	
NB-870	-122.53880677	38.15252518	
NB-880	-122.53011039	38.14651172	
NB-890	-122.52076640	38.14105335	
NB-890	-122.51401283	38.13439229	
NB-910	-122.51132990	38.12551088	
NB-920	-122.50716674	38.11718455	
NB-930	-122.49893293	38.11172618	
